1,0.259453
2,0.076714
3,0.071346
4,0.099030
5,0.099094
6,0.098969
7,0.098291
8,0.100375
9,0.098181
10,0.104075
11,0.093936
12,0.108646
13,0.095975
14,0.101507
15,0.274969
16,0.119296
17,0.189799
18,0.135184
19,0.114623
20,0.184721
21,0.178978
22,0.160308
23,0.199820
24,0.210182
25,0.194205
26,0.195339
27,0.155029
28,0.208273
29,0.199798
30,0.370105
31,0.373809
32,0.160953
33,0.270675
34,0.284331
35,0.345964
36,0.342938
37,0.339429
38,0.295290
39,0.389928
40,0.308184
41,0.311920
42,0.638390
43,0.371031
44,0.332791
45,0.507074
46,0.535252
47,0.384057
48,0.383423
49,0.402082
50,0.381629
51,0.467172
52,0.441396
53,0.383655
54,0.421775
55,0.454644
56,0.424787
57,0.537208
58,0.443510
59,0.509728
60,0.519811
61,0.611989
62,0.472065
63,0.518181
64,0.478772
65,0.619549
66,0.554573
67,0.475625
68,0.526483
69,0.623532
70,0.586792
71,0.709886
72,0.546885
73,0.652997
74,0.747790
75,0.569659
76,0.600398
77,0.658620
78,0.666177
79,0.648897
80,0.648023
81,0.753227
82,0.678419
83,0.721131
84,0.631168
85,0.637270
86,0.882351
87,0.766637
88,0.669510
89,0.722629
90,0.749965
91,0.673663
92,0.737471
93,0.638466
94,0.846300
95,0.725551
96,0.752547
97,0.707727
98,0.693755
99,1.062356
100,0.873731
